Ville;Date et heure;Précipitations (mm);Jours de précipitation
ZRH;01.01.2005 00:00;1041.9;94
ZRH;01.01.2006 00:00;1134.5;102
ZRH;01.01.2007 00:00;1152.9;104
ZRH;01.01.2008 00:00;1212.7;109
ZRH;01.01.2009 00:00;1098.3;99
ZRH;01.01.2010 00:00;1001.5;90
ZRH;01.01.2011 00:00;913.5;82
ZRH;01.01.2012 00:00;1291.7;117
ZRH;01.01.2013 00:00;1093.8;99
ZRH;01.01.2014 00:00;1076.4;97
ZRH;01.01.2015 00:00;918;83
ZRH;01.01.2016 00:00;1296.8;117
ZRH;01.01.2017 00:00;1106.6;100
ZRH;01.01.2018 00:00;897.3;81
ZRH;01.01.2019 00:00;1041.2;94
ZRH;01.01.2020 00:00;859.5;78
ZRH;01.01.2021 00:00;1126.6;102
ZRH;01.01.2022 00:00;871.9;79
ZRH;01.01.2023 00:00;1159.6;105
ZRH;01.01.2024 00:00;1280.8;116
