Ville;Date et heure;Précipitations (mm);Jours de précipitation
LUG;01.01.2009 00:00;1679.7;107
LUG;01.01.2010 00:00;1854.2;118
LUG;01.01.2011 00:00;1179.3;75
LUG;01.01.2012 00:00;1411.7;90
LUG;01.01.2013 00:00;1713.3;109
LUG;01.01.2014 00:00;2429.6;155
LUG;01.01.2015 00:00;1232.4;79
LUG;01.01.2016 00:00;1680.5;107
LUG;01.01.2017 00:00;1509.4;96
LUG;01.01.2018 00:00;1472.2;94
LUG;01.01.2019 00:00;1675.2;107
LUG;01.01.2020 00:00;1542;98
LUG;01.01.2021 00:00;1443.6;92
LUG;01.01.2022 00:00;1096.4;70
LUG;01.01.2023 00:00;1461.8;93
LUG;01.01.2024 00:00;1786.3;114
